"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"1",8,9,0,1
"2",20,8,0,1
"3",14,7,1,1
"4",12,6,0,0
"5",24,7,0,0
"6",21,14,0,0
"7",8,8,0,0
"8",10,6,1,0
"9",6,8,0,1
"10",11,8,1,0
"11",8,9,1,0
"12",11,5,0,0
"13",15,9,1,1
"14",17,10,1,1
"15",15,4,1,0
"16",9,9,0,1
"17",14,8,1,0
"18",6,6,1,0
"19",17,10,0,0
"20",10,8,1,0
"21",14,4,0,0
"22",6,5,0,1
"23",9,8,0,1
"24",8,9,1,0
"25",12,5,0,0
"26",8,5,0,0
"27",8,6,0,2
"28",9,11,1,0
"29",14,9,0,2
"30",8,4,0,1
"31",7,14,1,0
"32",14,7,0,0
"33",5,4,0,0
"34",9,7,0,1
"35",8,11,0,1
"36",6,2,1,0
"37",6,4,0,0
"38",5,8,0,0
"39",5,3,1,1
"40",3,3,0,0
"41",8,8,0,0
"42",5,0,0,0
"43",5,4,0,0
"44",7,3,0,0
"45",4,5,0,0
"46",10,4,0,0
"47",6,5,0,0
"48",11,9,0,0
"49",6,3,0,0
"50",4,5,0,1
"51",12,4,0,0
"52",13,8,0,0
