Bulan,Puskesmas,Total Kasus ISPA
Juli,manyaran,754
Agustus,manyaran,881
September,manyaran,994
Oktober,manyaran,1006
November,manyaran,1096
Desember,manyaran,948
Januari,mijen,1278
Februari,mijen,1042
Maret,mijen,951
April,mijen,915
Mei,mijen,963
Juni,mijen,1109
Juli,mijen,1204
Agustus,mijen,1437
September,mijen,1431
Oktober,mijen,1064
November,mijen,1318
Desember,mijen,984
Januari,miroto,104
Februari,miroto,163
Maret,miroto,177
April,miroto,231
Mei,miroto,129
Juni,miroto,386
Juli,miroto,211
Agustus,miroto,286
September,miroto,#REF!
Oktober,miroto,245
November,miroto,208
Desember,miroto,217
Januari,ngaliyan,405
Februari,ngaliyan,740
Maret,ngaliyan,653
April,ngaliyan,1032
Mei,ngaliyan,719
Juni,ngaliyan,1637
Juli,ngaliyan,1425
Agustus,ngaliyan,1366
September,ngaliyan,1339
Oktober,ngaliyan,1472
November,ngaliyan,1140
Desember,ngaliyan,1218
Januari,ngemplaksimongan,512
Februari,ngemplaksimongan,699
Maret,ngemplaksimongan,713
April,ngemplaksimongan,420
Mei,ngemplaksimongan,356
Juni,ngemplaksimongan,647
Juli,ngemplaksimongan,664
Agustus,ngemplaksimongan,652
September,ngemplaksimongan,620
Oktober,ngemplaksimongan,672
November,ngemplaksimongan,715
Desember,ngemplaksimongan,652
Januari,ngesrep,1038
Februari,ngesrep,1041
Maret,ngesrep,821
April,ngesrep,925
Mei,ngesrep,556
Juni,ngesrep,796
Juli,ngesrep,1148
Agustus,ngesrep,1272
September,ngesrep,1307
Oktober,ngesrep,1281
November,ngesrep,1506
Desember,ngesrep,1294
Januari,padangsari,646
Februari,padangsari,656
Maret,padangsari,533
April,padangsari,631
Mei,padangsari,365
Juni,padangsari,474
Juli,padangsari,744
Agustus,padangsari,821
September,padangsari,780
Oktober,padangsari,776
November,padangsari,922
Desember,padangsari,810
Januari,pandanaran,0
Februari,pandanaran,0
Maret,pandanaran,751
April,pandanaran,655
Mei,pandanaran,593
Juni,pandanaran,597
Juli,pandanaran,758
Agustus,pandanaran,683
September,pandanaran,1017
Oktober,pandanaran,664
November,pandanaran,774
Desember,pandanaran,352
Januari,pegandan,0
Februari,pegandan,0
Maret,pegandan,513
April,pegandan,388
Mei,pegandan,376
Juni,pegandan,406
Juli,pegandan,589
Agustus,pegandan,505
September,pegandan,1147
Oktober,pegandan,538
November,pegandan,549
Desember,pegandan,473
Januari,plamongansari,2514
Februari,plamongansari,2231
Maret,plamongansari,3078
April,plamongansari,3224
Mei,plamongansari,3841
Juni,plamongansari,4664
Juli,plamongansari,0
Agustus,plamongansari,3214
September,plamongansari,3747
Oktober,plamongansari,4276
November,plamongansari,2235
Desember,plamongansari,0
Januari,poncol,855
Februari,poncol,739
Maret,poncol,615
April,poncol,536
Mei,poncol,506
Juni,poncol,577
Juli,poncol,557
Agustus,poncol,591
September,poncol,810
Oktober,poncol,741
November,poncol,862
Desember,poncol,657
Januari,pudakpayung,339
Februari,pudakpayung,295
Maret,pudakpayung,240
April,pudakpayung,192
Mei,pudakpayung,197
Juni,pudakpayung,231
Juli,pudakpayung,209
Agustus,pudakpayung,281
September,pudakpayung,550
Oktober,pudakpayung,275
November,pudakpayung,313
Desember,pudakpayung,148
Januari,purwoyoso,574
Februari,purwoyoso,643
Maret,purwoyoso,577
April,purwoyoso,448
Mei,purwoyoso,493
Juni,purwoyoso,581
Juli,purwoyoso,541
Agustus,purwoyoso,653
September,purwoyoso,799
Oktober,purwoyoso,706
November,purwoyoso,762
Desember,purwoyoso,586
Januari,rowosari,310
Februari,rowosari,378
Maret,rowosari,566
April,rowosari,536
Mei,rowosari,579
Juni,rowosari,983
Juli,rowosari,1085
Agustus,rowosari,1226
September,rowosari,1409
Oktober,rowosari,1456
November,rowosari,1298
Desember,rowosari,1278
Januari,sekaran,498
Februari,sekaran,514
Maret,sekaran,526
April,sekaran,455
Mei,sekaran,530
Juni,sekaran,456
Juli,sekaran,368
Agustus,sekaran,288
September,sekaran,678
Oktober,sekaran,376
November,sekaran,381
Desember,sekaran,292
Januari,srondol,576
Februari,srondol,530
Maret,srondol,479
April,srondol,453
Mei,srondol,612
Juni,srondol,490
Juli,srondol,658
Agustus,srondol,715
September,srondol,790
Oktober,srondol,780
November,srondol,940
Desember,srondol,811
