"Category";"Penderita Laki-laki";"Penderita Perempuan";"Meninggal Laki-laki";"Meninggal Perempuan"
"Jan";0;0;0;0
"Feb";6;3;0;1
"Mar";4;5;0;0
"Apr";3;1;0;0
"May";3;4;1;1
"Jun";2;2;0;1
"Jul";3;2;0;0
"Aug";0;1;0;1
"Sep";3;2;0;0
"Oct";2;1;1;0
"Nov";5;1;2;0
"Dec";4;1;0;0
