"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Bulusan",0,7,0,0
"Plamongan Sari",4,3,0,0
"Karanganyar",1,0,0,0
"Mangkang",3,1,0,0
"Ngaliyan",5,15,0,1
"Purwoyoso",6,7,0,0
"Tambakaji",13,9,1,2
"Mijen",7,9,0,0
"Sekaran",5,6,0,0
"Gunungpati",8,8,0,0
"Pudakpayung",12,22,0,1
"Srondol",2,8,0,0
"Padangsari",0,4,0,0
"Ngesrep",5,9,1,0
"Rowosari",4,3,0,1
"Kedungmundu",16,24,0,0
"Tlogosari Wetan",5,3,0,0
"Tlogosari Kulon",4,8,1,0
"Bangetayu",4,4,0,0
"Genuk",3,2,0,0
"Pegandan",6,4,0,0
"Kagok",1,2,0,0
"Candilama",2,5,0,0
"Gayamsari",2,6,0,0
"Ngemplak Simongan",2,3,0,0
"Krobokan",2,2,0,0
"Manyaran",1,4,0,0
"Lebdosari",1,2,0,0
"Karangayu",0,3,0,0
"Lamper Tengah",2,4,0,0
"Pandanaran",1,2,0,0
"Karangdoro",2,1,0,0
"Bugangan",4,0,0,0
"Halmahera",0,1,0,0
"Bulu Lor",1,0,0,0
"Bandarharjo",0,2,0,0
"Miroto",0,2,1,0
"Poncol",1,2,0,0
