"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"1",4,5,1,1
"2",2,1,0,0
"3",1,0,0,0
"4",1,2,0,0
"5",5,0,0,0
"6",3,2,0,0
"7",1,0,0,0
"8",4,3,1,0
"9",3,4,0,0
"10",1,2,0,0
"11",5,2,0,0
"12",5,2,0,0
"13",5,3,0,0
"14",3,2,0,0
"15",3,2,0,0
"16",3,3,0,0
"17",4,2,0,0
"18",2,0,0,0
"19",4,3,0,0
"20",4,3,0,0
"21",2,2,0,1
"22",2,1,0,0
"23",2,3,0,0
"24",2,4,0,0
"25",2,1,0,0
"26",3,0,0,0
"28",1,2,0,0
"29",1,1,0,0
"30",1,1,0,0
"31",4,1,0,0
"32",1,1,0,0
"33",2,2,0,0
"34",1,0,0,0
"35",5,0,0,0
"36",1,2,0,0
"37",6,1,0,0
"38",6,6,0,0
"39",3,1,1,0
"40",2,0,0,0
"41",2,2,0,0
"42",3,4,0,0
"43",5,2,0,0
"44",5,7,0,0
"45",5,4,0,1
"46",12,4,0,0
"47",9,7,0,0
"48",14,5,0,0
"49",8,7,0,1
"50",6,7,0,0
"51",10,8,1,0
"52",8,8,0,1
