"Category";"Penderita Laki-laki";"Penderita Perempuan";"Meninggal Laki-laki";"Meninggal Perempuan"
"Jan";3;1;0;0
"Feb";9;1;4;0
"Mar";5;3;0;1
"Apr";4;1;0;1
"May";2;0;0;0
"Jun";0;1;0;0
"Jul";2;0;0;0
"Aug";1;0;0;0
"Sep";1;0;0;0
