"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Bulusan",2,1,0,0
"Plamongan Sari",3,8,0,0
"Karanganyar",1,2,0,0
"Mangkang",0,2,0,0
"Ngaliyan",7,13,0,0
"Purwoyoso",0,5,0,0
"Tambakaji",4,9,0,0
"Karangmalang",0,4,0,0
"Mijen",4,13,0,0
"Sekaran",2,5,0,0
"Gunungpati",2,3,0,0
"Pudakpayung",3,3,1,0
"Srondol",4,6,0,0
"Padangsari",1,8,0,0
"Ngesrep",3,6,0,0
"Rowosari",4,12,0,0
"Kedungmundu",11,23,1,1
"Tlogosari Wetan",12,12,0,0
"Tlogosari Kulon",11,14,1,1
"Bangetayu",9,15,1,1
"Genuk",5,10,0,0
"Pegandan",1,3,0,0
"Kagok",3,2,0,0
"Candilama",4,4,0,1
"Gayamsari",9,11,1,0
"Ngemplak Simongan",1,0,0,0
"Krobokan",2,5,0,0
"Manyaran",1,5,1,0
"Lebdosari",3,6,1,0
"Karangayu",1,3,0,0
"Lamper Tengah",3,3,0,0
"Pandanaran",2,1,0,1
"Karangdoro",4,9,0,0
"Bugangan",1,5,0,0
"Halmahera",4,8,0,1
"Bulu Lor",6,9,1,0
"Bandarharjo",6,12,1,1
"Miroto",1,1,0,0
"Poncol",0,3,0,0
