"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"1",8,5,0,0
"2",16,3,1,0
"3",13,10,1,0
"4",16,6,0,1
"5",8,9,0,0
"6",17,3,0,0
"7",7,5,0,0
"8",8,6,0,1
"9",4,2,0,0
"10",6,3,0,0
"11",7,5,1,0
"12",12,2,0,0
"13",11,5,1,0
"14",12,7,1,1
"15",15,13,0,1
"16",10,8,2,0
"17",8,3,0,0
"18",7,6,0,1
"19",13,2,0,0
"20",4,2,0,0
"21",5,3,0,0
"22",7,3,0,0
"23",10,4,1,0
"24",5,4,0,1
"25",1,2,0,0
"26",6,2,0,1
"27",3,0,0,0
"28",5,0,0,0
"29",1,1,0,0
"31",0,1,0,0
"32",1,1,0,0
"33",0,2,0,0
"34",2,1,0,0
"35",0,1,0,0
"36",2,0,0,0
"37",2,0,1,0
"38",1,1,0,0
"39",0,2,0,0
"42",0,1,0,0
"43",1,0,0,0
"44",1,0,0,0
"47",2,1,0,0
"48",2,0,0,0
"49",1,1,0,0
"50",1,0,0,0
"52",2,4,0,0
"53",1,0,0,0
