kecamatan_id,kecamatan_nama,month_start,disease,cases
33.74.09,Genuk,2025-02-01,ISPA,1435
33.74.09,Genuk,2025-03-01,ISPA,1369
33.74.09,Genuk,2025-04-01,ISPA,1074
33.74.09,Genuk,2025-05-01,ISPA,1175
33.74.09,Genuk,2025-06-01,ISPA,1305
33.74.09,Genuk,2025-07-01,ISPA,1171
33.74.09,Genuk,2025-08-01,ISPA,1282
33.74.09,Genuk,2025-09-01,ISPA,1435
33.74.09,Genuk,2025-10-01,ISPA,983
33.74.09,Genuk,2025-11-01,ISPA,1228
33.74.09,Genuk,2025-12-01,ISPA,1308
33.74.10,Pedurungan,2025-01-01,ISPA,5241
33.74.10,Pedurungan,2025-02-01,ISPA,4670
33.74.10,Pedurungan,2025-03-01,ISPA,5687
33.74.10,Pedurungan,2025-04-01,ISPA,5267
33.74.10,Pedurungan,2025-05-01,ISPA,5887
33.74.10,Pedurungan,2025-06-01,ISPA,6575
33.74.10,Pedurungan,2025-07-01,ISPA,2217
33.74.10,Pedurungan,2025-08-01,ISPA,5922
33.74.10,Pedurungan,2025-09-01,ISPA,6821
33.74.10,Pedurungan,2025-10-01,ISPA,7107
33.74.10,Pedurungan,2025-11-01,ISPA,4908
33.74.10,Pedurungan,2025-12-01,ISPA,2721
33.74.11,Tembalang,2025-01-01,ISPA,2113
33.74.11,Tembalang,2025-02-01,ISPA,1297
33.74.11,Tembalang,2025-03-01,ISPA,2199
33.74.11,Tembalang,2025-04-01,ISPA,2181
33.74.11,Tembalang,2025-05-01,ISPA,2005
33.74.11,Tembalang,2025-06-01,ISPA,3732
33.74.11,Tembalang,2025-07-01,ISPA,5847
33.74.11,Tembalang,2025-08-01,ISPA,4135
33.74.11,Tembalang,2025-09-01,ISPA,5186
33.74.11,Tembalang,2025-10-01,ISPA,5087
33.74.11,Tembalang,2025-11-01,ISPA,4139
33.74.11,Tembalang,2025-12-01,ISPA,3869
33.74.12,Banyumanik,2025-01-01,ISPA,2599
33.74.12,Banyumanik,2025-02-01,ISPA,2522
