"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"1",3,3,0,0
"2",2,1,0,0
"3",2,3,0,0
"4",2,3,0,0
"5",4,2,0,0
"6",9,1,1,0
"7",2,1,0,0
"8",4,1,0,1
"9",5,3,0,0
"10",5,0,0,0
"11",6,1,0,0
"12",5,1,0,0
"13",1,0,0,0
"14",4,1,0,0
"15",4,1,1,0
"16",7,2,0,0
"17",1,1,0,0
"18",2,2,0,0
"19",5,1,0,0
"20",1,1,0,0
"21",3,0,0,0
"22",3,0,0,0
"23",1,3,0,0
"26",0,1,0,0
"27",1,1,0,0
"28",1,1,0,0
"29",1,1,0,0
"31",0,2,0,0
"32",2,0,0,0
"33",1,0,0,0
"35",1,0,0,0
"38",1,2,0,0
"40",1,0,1,0
"50",0,1,0,1
"51",1,0,0,0
