"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"Jan",9,4,3,0
"Feb",13,10,2,0
"Mar",5,4,1,0
"Apr",3,7,0,0
"May",5,1,0,0
"Jun",3,1,0,0
"Jul",1,0,0,0
"Aug",0,1,0,0
"Sep",0,0,0,0
