"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Candilama",1,0,0,0
"Karangdoro",0,1,0,0
"Bandarharjo",0,2,0,0
