"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Bulusan",0,1,0,0
"Plamongan Sari",8,14,0,0
"Karanganyar",7,10,3,0
"Mangkang",6,5,1,1
"Ngaliyan",14,24,1,1
"Purwoyoso",9,18,1,0
"Tambakaji",7,18,1,1
"Karangmalang",7,4,0,0
"Mijen",21,23,2,1
"Sekaran",10,14,0,0
"Gunungpati",9,12,1,3
"Pudakpayung",10,16,0,1
"Srondol",9,15,0,0
"Padangsari",5,7,0,1
"Ngesrep",16,20,0,1
"Rowosari",18,17,0,0
"Kedungmundu",28,57,0,0
"Tlogosari Wetan",16,11,0,0
"Tlogosari Kulon",10,21,0,0
"Bangetayu",17,25,0,0
"Genuk",3,7,0,0
"Pegandan",8,15,0,1
"Kagok",12,17,0,0
"Candilama",7,13,0,0
"Gayamsari",5,4,1,0
"Ngemplak Simongan",2,5,0,1
"Krobokan",4,6,1,0
"Manyaran",12,19,1,0
"Lebdosari",9,10,0,2
"Karangayu",2,6,0,0
"Lamper Tengah",6,12,0,0
"Pandanaran",5,5,0,0
"Karangdoro",3,6,0,0
"Bugangan",2,3,0,0
"Halmahera",2,5,0,1
"Bulu Lor",11,10,0,1
"Bandarharjo",18,27,2,0
"Miroto",3,3,0,2
"Poncol",5,6,0,0
