"Category";"Penderita Laki-laki";"Penderita Perempuan";"Meninggal Laki-laki";"Meninggal Perempuan"
"Jan";6;3;1;0
"Feb";3;0;2;0
"Mar";1;0;1;0
"Apr";1;1;0;0
"May";0;1;0;0
"Jun";3;1;1;1
"Jul";0;0;0;0
"Aug";0;1;0;0
"Sep";1;1;0;0
"Oct";1;1;0;0
"Nov";2;2;2;0
"Dec";0;1;0;0
