kecamatan_nama,month_start,cases,rainfall_mm,temp_mean_c,humidity_pct
Tugu,2025-10-01,0,290.3,28.4,75.5
Tugu,2025-11-01,0,242.4,27.5,82
Tugu,2025-12-01,0,289.2,27.2,84.4
