kecamatan_id,kecamatan_nama,month_start,rainfall_mm,temp_mean_c,humidity_pct
33.74.04,Semarang Selatan,2024-10-01,59.0,29.3,65.5
33.74.04,Semarang Selatan,2024-11-01,287.1,27.6,81.4
33.74.04,Semarang Selatan,2024-12-01,302.6,26.8,86.6
33.74.04,Semarang Selatan,2025-01-01,287.0,26.2,86.4
33.74.04,Semarang Selatan,2025-02-01,153.7,26.4,83.9
33.74.04,Semarang Selatan,2025-03-01,154.7,27.1,82.8
33.74.04,Semarang Selatan,2025-04-01,134.2,27.5,79.4
33.74.04,Semarang Selatan,2025-05-01,243.0,27.3,82.1
33.74.04,Semarang Selatan,2025-06-01,89.7,27.8,73.1
33.74.04,Semarang Selatan,2025-07-01,35.8,28.2,65.1
33.74.04,Semarang Selatan,2025-08-01,141.2,27.8,70.4
33.74.04,Semarang Selatan,2025-09-01,112.9,28.4,68.7
33.74.04,Semarang Selatan,2025-10-01,263.5,28.2,74.2
33.74.04,Semarang Selatan,2025-11-01,173.1,27.3,80.1
33.74.04,Semarang Selatan,2025-12-01,176.6,27.0,82.8
33.74.04,Semarang Selatan,2026-01-01,298.3,26.0,83.6
33.74.04,Semarang Selatan,2026-02-01,223.2,26.1,84.2
33.74.04,Semarang Selatan,2026-03-01,150.7,27.1,79.0
33.74.04,Semarang Selatan,2026-04-01,164.1,28.3,74.7
33.74.04,Semarang Selatan,2026-05-01,93.3,28.5,74.5
33.74.04,Semarang Selatan,2026-06-01,37.3,28.7,65.4
33.74.04,Semarang Selatan,2026-07-01,3.2,28.5,57.5
33.74.04,Semarang Selatan,2026-08-01,11.2,28.6,62.1
33.74.04,Semarang Selatan,2026-09-01,17.2,29.1,59.9
33.74.05,Semarang Barat,2021-01-01,292.4,25.9,87.9
33.74.05,Semarang Barat,2021-02-01,364.0,25.8,87.5
33.74.05,Semarang Barat,2021-03-01,157.0,26.5,86.2
33.74.05,Semarang Barat,2021-04-01,84.2,27.2,81.2
33.74.05,Semarang Barat,2021-05-01,153.2,28.0,76.8
33.74.05,Semarang Barat,2021-06-01,111.9,27.2,80.2
33.74.05,Semarang Barat,2021-07-01,9.9,28.5,62.9
33.74.05,Semarang Barat,2021-08-01,64.2,28.7,64.5
33.74.05,Semarang Barat,2021-09-01,59.2,28.6,67.3
33.74.05,Semarang Barat,2021-10-01,121.2,28.4,71.6
33.74.05,Semarang Barat,2021-11-01,246.4,26.6,85.5
33.74.05,Semarang Barat,2021-12-01,302.2,26.5,86.6
33.74.05,Semarang Barat,2022-01-01,241.8,26.2,84.8
33.74.05,Semarang Barat,2022-02-01,236.4,26.3,84.4
33.74.05,Semarang Barat,2022-03-01,248.5,26.6,86.0
33.74.05,Semarang Barat,2022-04-01,118.1,27.1,81.9
33.74.05,Semarang Barat,2022-05-01,173.1,27.2,82.4
33.74.05,Semarang Barat,2022-06-01,182.7,26.6,80.6
33.74.05,Semarang Barat,2022-07-01,74.2,27.5,71.4
33.74.05,Semarang Barat,2022-08-01,45.7,28.1,67.6
33.74.05,Semarang Barat,2022-09-01,76.1,28.3,69.2
33.74.05,Semarang Barat,2022-10-01,202.5,26.6,83.2
33.74.05,Semarang Barat,2022-11-01,353.6,26.5,85.1
33.74.05,Semarang Barat,2022-12-01,215.8,26.4,84.0
33.74.05,Semarang Barat,2023-01-01,214.0,26.1,85.7
33.74.05,Semarang Barat,2023-02-01,302.2,26.0,85.8
33.74.05,Semarang Barat,2023-03-01,295.7,26.4,85.0
